,station_id,name,id,empty_slots,has_ebikes,ebikes,slots,renting,returning,latitude,longitude,timestamp
704,33b6493a0dd60c971f3d85382e35e7c6,Hochelaga / Chapleau,33b6493a0dd60c971f3d85382e35e7c6,18,True,0,19,1,1,45.53431661378577,-73.55970561504364,2023-08-28T14:41:43.443000Z
705,16fb65f48b8435b23e10d3e232fd5f0c,Notre-Dame  / St-Martin,16fb65f48b8435b23e10d3e232fd5f0c,17,True,0,19,1,1,45.48830194643546,-73.56871783733366,2023-08-28T14:41:44.169000Z
706,be7eb9139288d63ecd637cbd4d52f05f,Théâtre du Vieux-Terrebonne (St-Pierre / des Braves),be7eb9139288d63ecd637cbd4d52f05f,11,True,4,19,1,1,45.69223305604548,-73.63703128697125,2023-08-28T14:41:43.751000Z
707,fb645db9b2cdd11157289f2b2cdb539c,Parc St-Sacrement (des Seigneurs / St-Sacrement),fb645db9b2cdd11157289f2b2cdb539c,9,True,4,19,1,1,45.70234934325735,-73.63957804443088,2023-08-28T14:41:43.852000Z
708,dc8a8b448fa7f1018b21065bee6f4b7e,Terminus de bus EXO (Côte de Terrebonne),dc8a8b448fa7f1018b21065bee6f4b7e,11,True,6,22,1,1,45.697815037503666,-73.65406465532033,2023-08-28T14:41:43.868000Z
709,9c481b0d120d9a0bdf64bca192deb713,de Soissons / de Darlington,9c481b0d120d9a0bdf64bca192deb713,14,True,2,19,1,1,45.50689914049937,-73.623526096344,2023-08-28T14:41:43.821000Z
710,c55d42866bb42ee273386d8ecba46efd,des Écores / Beaubien,c55d42866bb42ee273386d8ecba46efd,17,True,0,19,1,1,45.547536449579944,-73.59267264604568,2023-08-28T14:41:43.441000Z
711,44355d7e2e32e5cd2e215f64a5a44aa3,des Érables / Dandurand,44355d7e2e32e5cd2e215f64a5a44aa3,10,True,0,19,1,1,45.541331760976774,-73.58387768268585,2023-08-28T14:41:43.868000Z
712,26aa0933324c9525e24f3b802787f507,des Érables / Rachel,26aa0933324c9525e24f3b802787f507,14,True,0,19,1,1,45.533313304815366,-73.56671154499054,2023-08-28T14:41:43.558000Z
713,cc186df699fdcf0596ba8325ff9bfac6,Fullum / Gilford,cc186df699fdcf0596ba8325ff9bfac6,15,True,0,19,1,1,45.53922374455291,-73.57383679656778,2023-08-28T14:41:43.806000Z
714,36062f17a7454e3f40f96283ff611cf5,CCI Outremont (Dollard / Ducharme),36062f17a7454e3f40f96283ff611cf5,11,True,1,15,1,1,45.520019102391636,-73.61890733242035,2023-08-28T14:41:43.979000Z
715,882a16842469a73f4c033de3f0a99d40,de la Gauchetière / Robert-Bourassa,882a16842469a73f4c033de3f0a99d40,15,True,2,27,1,1,45.50064338023683,-73.5654079914093,2023-08-28T14:41:44.353000Z
